"","state","mean_rank","median_rank"
"1","Vermont",3,2
"2","New Hampshire",4.4,3
"3","West Virginia",6.6,6
"4","Kansas",7.4,5
"5","Virginia",8,7
"6","Hawaii",9,8
"7","North Dakota",10.2,6
"8","Montana",10.8,6
"9","New Jersey",10.8,10
"10","New Mexico",11.2,12
"11","Utah",12,12
"12","Michigan",12.4,14
"13","Oregon",14.2,17
"14","Pennsylvania",14.6,14
"15","Nebraska",15,9
"16","Ohio",16.4,18
"17","Indiana",16.6,15
"18","Wyoming",17.2,10
"19","Kentucky",18.8,19
"20","Connecticut",19,17
"21","Minnesota",19,22
"22","Colorado",20.8,20
"23","Washington",21.4,23
"24","Alabama",21.8,25
"25","New York",21.8,21
"26","Rhode Island",25.4,27
"27","Texas",26,26
"28","Missouri",27,29
"29","Maine",28,29
"30","Illinois",30.4,32
"31","Arizona",31.2,33
"32","Oklahoma",31.6,32
"33","California",34.4,34
"34","Tennessee",34.6,35
"35","Wisconsin",34.6,34
"36","South Dakota",35.2,40
"37","Nevada",35.6,37
"38","South Carolina",36.4,38
"39","Idaho",37.2,36
"40","Georgia",38.8,38
"41","Arkansas",39.8,41
"42","Mississippi",40,39
"43","Iowa",41.6,42
"44","Alaska",42.8,44
"45","Maryland",44.6,46
"46","Delaware",45,45
"47","North Carolina",46.2,47
"48","Florida",48,48
"49","Louisiana",48.4,48
"50","District Of",49.8,50
